131,NGC 255,Sbc,SAB(rs)bc
132,NGC 275,SBc,SB(rs)cd pec
133,NGC 289,SBbc,SB(rs)bc
134,NGC 300,Scd,SA(s)d
135,NGC 337,SBcd,SB(s)d
136,NGC 434,Sab,SAB(s)ab
137,NGC 578,Sc,SAB(rs)c
138,NGC 584,E,E4
139,NGC 596,E,cD pec?
140,NGC 613,Sbc,SB(rs)bc
141,NGC 615,Sb,SA(rs)b
142,NGC 625,SBm,SB(s)m? sp
143,NGC 636,E,E3
144,NGC 681,SABa,SAB(s)ab sp
145,NGC 685,Sc,SAB(r)c
146,NGC 701,SBc,SB(rs)c
147,NGC 720,E,E5
148,NGC 779,SABb,SAB(r)b
149,NGC 782,SBb,SB(r)b
150,NGC 895,Sc,SA(s)cd
151,NGC 908,SABc,SA(s)c
152,NGC 922,SBc,SB(s)cd pec
153,NGC 936,S0/a,SB(rs)0^+
154,NGC 945,SBc,SB(rs)c
155,NGC 958,SBc,SB(rs)c:
156,NGC 986,Sab,SB(rs)ab
157,NGC 988,Sc,SB(s)cd:
158,NGC 1022,SBa,(R')SB(s)a
159,NGC 1042,SABc,SAB(rs)cd
160,NGC 1052,E,E4
161,NGC 1068,Sb,(R)SA(rs)b
162,NGC 1079,SABa,(R)SAB(rs)0/a p
163,NGC 1084,Sc,SA(s)c
164,NGC 1087,SABc,SAB(rs)c
165,NGC 1090,Sbc,SB(rs)bc
166,NGC 1097,SBb,SB(s)b
167,NGC 1172,E,cD:
168,NGC 1179,Sc,SAB(r)cd
169,NGC 1187,Sc,SB(r)c
170,NGC 1199,E,E3:
171,NGC 1201,E/S0,SA(r)0^0^:
172,NGC 1209,E,E6:
173,NGC 1232,SABc,SAB(rs)c
174,NGC 1249,SBc,SB(s)cd
175,NGC 1253,SABc,SAB(rs)cd
176,NGC 1255,SABb,SAB(rs)bc
177,NGC 1291,S0/a,(R)SB(s)0/a
178,NGC 1292,Sc,SA(s)c
179,NGC 1300,Sbc,SB(rs)bc
180,NGC 1302,S0/a,(R)SB(r)0/a
181,NGC 1309,Sbc,SA(s)bc:
182,NGC 1313,SBcd,SB(s)d
183,NGC 1316,S0,SAB(s)0^0^ pec
184,NGC 1317,SABa,SAB(r)a
185,NGC 1325,SBbc,SA(s)bc
186,NGC 1326,S0/a,(R)SB(r)0^+
187,NGC 1332,E/S0,S0(s)^-: sp
188,NGC 1337,SBc,SA(s)cd
189,NGC 1339,E,cD pec?
190,NGC 1340,E,E5
191,NGC 1350,Sab,(R')SB(r)ab
192,NGC 1351,E/S0,SA0^- pec:
193,NGC 1353,Sb,SB(rs)b:
194,NGC 1357,Sab,SA(s)ab
195,NGC 1365,Sb,SB(s)b
196,NGC 1367,Sa,SAB(rs)a
197,NGC 1374,E,E
198,NGC 1379,E,E
199,NGC 1380,S0,SA0
200,NGC 1381,S0,SA0: sp
201,NGC 1385,Sc,SB(s)cd
202,NGC 1386,S0/a,SB(s)0^+
203,NGC 1387,E/S0,SAB(s)0^-
204,NGC 1389,E/S0,SAB(s)0^-:
205,NGC 1395,E,E2
206,NGC 1398,SBab,(R')SB(r)ab
207,NGC 1399,E,E1 pec
208,NGC 1400,E/S0,SA0^-
209,NGC 1404,E,E1
210,NGC 1407,E,E0
211,NGC 1411,E/S0,SA(r)0^-:
212,NGC 1415,S0/a,(R)SAB(s)0/a
213,NGC 1417,SABb,SAB(rs)b
214,NGC 1421,Sbc,SAB(rs)bc:
215,NGC 1425,Sb,SA(s)b
216,NGC 1426,E,E4
217,NGC 1427,E,cD
218,NGC 1433,SBab,(R')SB(r)ab
219,NGC 1436,Sb,(R')SAB(rs)ab
220,NGC 1439,E,E1
221,NGC 1448,Sc,SAcd: sp
222,NGC 1452,S0/a,(R')SB(r)0/a
223,NGC 1453,E,E2-3
224,NGC 1461,S0,SA(r)0^0^
225,NGC 1487,Scd,pec
226,NGC 1493,SBc,SB(r)cd
227,NGC 1494,Scd,SAB(s)d:
228,NGC 1507,SBd,SB(s)m pec?
229,NGC 1511,Sa,SAa pec:
230,NGC 1512,Sa,SB(r)a
231,NGC 1515,SABb,SAB(s)bc
232,NGC 1518,SBd,SB(s)dm
233,NGC 1521,E,E3:
234,NGC 1527,E/S0,SAB(r)0^-
235,NGC 1531,E/S0,S0^- pec:
236,NGC 1532,SBb,SB(s)b pec spin
237,NGC 1533,E/S0,SB0^-
238,NGC 1537,E/S0,SAB0^- pec?
239,NGC 1543,S0,(R)SB(s)0^0^
240,NGC 1546,S0/a,SA0^+?
241,NGC 1549,E,E0-1
242,NGC 1553,S0,SA(r)0^0^
243,NGC 1559,SBc,SB(s)cd
244,NGC 1566,SABb,SAB(s)bc
245,NGC 1574,E/S0,SA(s)0^-:
246,NGC 1596,S0,SA0: sp
247,NGC 1600,E,E3
248,NGC 1617,SBa,SB(s)a
249,NGC 1637,Sc,SAB(rs)c
250,NGC 1640,Sb,SB(r)b
251,NGC 1667,SABc,SAB(r)c
252,NGC 1672,Sb,SB(s)b
253,NGC 1679,IB,SB(s)m
254,NGC 1688,SBcd,SB(rs)d
255,NGC 1700,E,E4
256,NGC 1703,SBb,SB(r)b
257,NGC 1705,E/S0,SA0^- pec:
258,NGC 1723,Sa,SB(r)a pec
259,NGC 1726,S0,SA(s)0^-:
260,NGC 1744,SBc,SB(s)d
261,NGC 1784,Sc,SB(r)c
262,NGC 1792,Sbc,SA(rs)bc
263,NGC 1796,SBc,SB(rs)c pec:
264,NGC 1808,Sa,(R)SAB(s)a
265,NGC 1832,Sbc,SB(r)bc
266,NGC 1888,SBc,SB(s)c pec
267,NGC 1892,Sc,Scd:
268,NGC 1947,E/S0,S0^- pec
269,NGC 1954,Sbc,SA(rs)bc pec:
270,NGC 1964,SABb,SAB(s)b
271,NGC 2082,SBb,SB(r)b
272,NGC 2090,Sbc,SA(rs)c
273,NGC 2139,Sc,SAB(rs)cd
274,NGC 2188,SBm,SB(s)m spin
275,NGC 2196,Sa,(R')SA(s)a
276,NGC 2207,SABb,SAB(rs)bc pec
277,NGC 2217,S0/a,(R)SB(rs)0^+
278,NGC 2223,Sb,SAB(r)b
279,NGC 2272,E/S0,SAB(s)0^-
280,NGC 2280,Sc,SA(s)cd
281,NGC 2292,S0,SAB0^0^ pec
282,NGC 2293,S0/a,SAB(s)0^- pec
283,NGC 2305,E,E2? pec
284,NGC 2310,S0,S0 spin
285,NGC 2325,E,E4
286,NGC 2380,S0,SAB0^0^:
287,NGC 2397,SBb,SB(s)b:
288,NGC 2417,Sbc,SA(rs)bc
289,NGC 2427,SABd,SAB(s)dm
290,NGC 2434,E,E0-1
291,NGC 2442,Sbc,SAB(s)bc pec
292,NGC 2525,Sc,SB(s)c
293,NGC 2559,SBc,SB(s)bc pec:
294,NGC 2566,Sb,(R')SB(rs)ab pe
295,NGC 2613,Sb,SA(s)b
296,NGC 2640,E/S0,SAB0^-
297,NGC 2663,E,E
298,NGC 2695,S0,SAB(s)0^0^?
299,NGC 2698,S0/a,SA0^+?
300,NGC 2708,SABb,SAB(s)b pec?
301,NGC 2763,SBc,SB(r)cd pec
302,NGC 2781,S0/a,SAB(r)0^+
303,NGC 2784,S0,SA(s)0^0^:
304,NGC 2811,SBa,SB(rs)a
305,NGC 2815,SBb,SB(r)b:
306,NGC 2822,E,E?
307,NGC 2835,Sc,SB(rs)c
308,NGC 2848,SABc,SAB(s)c:
309,NGC 2855,S0/a,(R)SA(rs)0/a
310,NGC 2865,E,E3-4
311,NGC 2889,SABc,SAB(rs)c
312,NGC 2907,Sa,SA(s)a> spin
313,NGC 2935,Sb,(R')SAB(s)b
314,NGC 2947,SABb,SAB(r)bc
315,NGC 2974,E,E4
316,NGC 2983,S0/a,SB(rs)0^+
317,NGC 2986,E,E2
318,NGC 2997,SABc,SAB(rs)c
319,NGC 3001,Sbc,SAB(rs)bc
320,NGC 3038,Sb,SA(rs)b
321,NGC 3052,SABc,SAB(r)c:
322,NGC 3054,Sb,SAB(r)b
323,NGC 3056,S0/a,(R)SA(s)0^-:
324,NGC 3059,SBbc,SB(rs)bc
325,NGC 3078,E,E2-3
326,NGC 3087,E,cD:
327,NGC 3091,E,E3:
328,NGC 3095,Sc,SAB(rs)c
329,NGC 3100,S0,SAB(s)0^0^ pec
330,NGC 3108,S0/a,SA(s)0^+
331,NGC 3109,SBm,SB(s)m spin
332,NGC 3115,E/S0,S0^- spin
333,NGC 3124,Sbc,SAB(rs)bc
334,NGC 3136,E,E:
335,NGC 3137,SABc,SA(s)cd
336,NGC 3145,SBbc,SB(rs)bc
337,NGC 3175,Sab,SAB(s)a?
338,NGC 3200,Sc,SAB(rs)c:
339,NGC 3223,Sb,SA(s)b
340,NGC 3250,E,E4
341,NGC 3256,Sbc,pec
342,NGC 3258,E,E1
343,NGC 3261,Sb,SB(rs)b
344,NGC 3263,SBc,SB(rs)cd: spin
345,NGC 3268,E,E2
346,NGC 3271,S0,SB(r)0^0^
347,NGC 3275,Sab,SB(r)ab
348,NGC 3281,Sab,SA(s)ab pec:
349,NGC 3283,S0,SA(s)0^0^?
350,NGC 3309,E,E3
351,NGC 3311,E,cD2
352,NGC 3312,Sb,SA(s)b pec?
353,NGC 3313,Sab,(R')SB(rs)ab
354,NGC 3318,Sbc,SAB(rs)b
355,NGC 3347,SBb,SB(rs)b
356,NGC 3358,S0/a,(R)SAB(s)0/a
357,NGC 3366,SBb,(R')SB(r)b:
358,NGC 3390,Sb,Sb spin
359,NGC 3450,Sb,SB(r)b
360,NGC 3511,SABc,SA(s)c
361,NGC 3513,SBc,SB(rs)c
362,NGC 3521,SABb,SAB(rs)bc
363,NGC 3557,E,E3
364,NGC 3568,Sc,SB(s)c:
365,NGC 3585,E,E6
366,NGC 3621,SBcd,SA(s)d
367,NGC 3660,Sbc,SB(r)bc
368,NGC 3672,Sc,SA(s)c
369,NGC 3673,Sb,SB(rs)b
370,NGC 3706,E/S0,SA(rs)0^-
371,NGC 3717,Sb,SAb: spin
372,NGC 3763,SABc,SAB(rs)c pec
373,NGC 3783,SBab,(R')SB(r)ab
374,NGC 3882,SBbc,SB(s)bc
375,NGC 3885,S0/a,SA(s)0/a
376,NGC 3887,Sbc,SB(r)bc
377,NGC 3892,S0/a,SB(rs)0^+
378,NGC 3904,E,E2-3:
379,NGC 3923,E,E4-5
380,NGC 3936,SBbc,SB(s)bc: spin
381,NGC 3955,S0/a,S0/a pec
382,NGC 3956,SBc,SA(s)c:
383,NGC 3962,E,E1
384,NGC 3981,Sbc,SA(rs)bc
385,NGC 4024,E/S0,SAB0^-
386,NGC 4027,SBcd,SB(s)dm
387,NGC 4030,Sbc,SA(s)bc
388,NGC 4033,E,E6
389,NGC 4038,SBm,SB(s)m pec
390,NGC 4039,SBm,SA(s)m pec
391,NGC 4050,Sab,SB(r)ab
392,NGC 4094,Sc,SAB(rs)cd:
393,NGC 4105,E,E3
394,NGC 4106,S0/a,SB(s)0^+
395,NGC 4112,Sb,SAB(rs)b pec
396,NGC 4219,Sbc,SA(s)bc
397,NGC 4304,Sbc,(R')SB(s)bc pec
398,NGC 4373,E/S0,SAB(rs)0^-:
399,NGC 4373A,S0,SA0^+: spin
